Node ID (sub-cluster),Relationship,Node ID (cluster)
0,SUBTYPE,13480
0,SUBTYPE,3889
0,SUBTYPE,2384
0,SUBTYPE,9675
0,SUBTYPE,4367
0,SUBTYPE,80358
0,SUBTYPE,76745
0,SUBTYPE,75283
0,SUBTYPE,7342
0,SUBTYPE,3035
0,SUBTYPE,4977
0,SUBTYPE,75953
0,SUBTYPE,11080
0,SUBTYPE,2845
0,SUBTYPE,3595
0,SUBTYPE,1971
0,SUBTYPE,81788
0,SUBTYPE,67316
0,SUBTYPE,69099
0,SUBTYPE,79670
0,SUBTYPE,80501
0,SUBTYPE,77239
0,SUBTYPE,70500
0,SUBTYPE,14415
0,SUBTYPE,80411
0,SUBTYPE,71120
0,SUBTYPE,241
0,SUBTYPE,78466
0,SUBTYPE,8237
0,SUBTYPE,80515
0,SUBTYPE,12323
0,SUBTYPE,592
0,SUBTYPE,81828
0,SUBTYPE,72102
0,SUBTYPE,11532
0,SUBTYPE,70051
0,SUBTYPE,75641
0,SUBTYPE,77030
0,SUBTYPE,71848
0,SUBTYPE,73018
0,SUBTYPE,80771
0,SUBTYPE,70777
0,SUBTYPE,6336
0,SUBTYPE,74636
0,SUBTYPE,75453
0,SUBTYPE,6776
0,SUBTYPE,76306
0,SUBTYPE,78085
0,SUBTYPE,6017
0,SUBTYPE,8222
0,SUBTYPE,1647
0,SUBTYPE,1258
0,SUBTYPE,14142
0,SUBTYPE,14640
0,SUBTYPE,70431
0,SUBTYPE,79334
0,SUBTYPE,79818
0,SUBTYPE,6940
0,SUBTYPE,6864
0,SUBTYPE,79173
0,SUBTYPE,13292
0,SUBTYPE,69909
0,SUBTYPE,12632
0,SUBTYPE,10937
0,SUBTYPE,72359
0,SUBTYPE,1337
0,SUBTYPE,13096
0,SUBTYPE,6552
0,SUBTYPE,12489
0,SUBTYPE,80178
0,SUBTYPE,67270
0,SUBTYPE,7138
0,SUBTYPE,5696
0,SUBTYPE,79460
0,SUBTYPE,9672
0,SUBTYPE,75606
0,SUBTYPE,9792
0,SUBTYPE,80803
0,SUBTYPE,6978
0,SUBTYPE,67949
0,SUBTYPE,2260
0,SUBTYPE,81779
0,SUBTYPE,9106
0,SUBTYPE,71033
0,SUBTYPE,12830
0,SUBTYPE,5988
0,SUBTYPE,2818
0,SUBTYPE,13295
0,SUBTYPE,14982
0,SUBTYPE,76639
0,SUBTYPE,6685
0,SUBTYPE,3357
0,SUBTYPE,80987
0,SUBTYPE,76140
0,SUBTYPE,77585
0,SUBTYPE,76635
0,SUBTYPE,79878
0,SUBTYPE,12194
0,SUBTYPE,12885
0,SUBTYPE,81855
0,SUBTYPE,72787
0,SUBTYPE,3328
0,SUBTYPE,7085
0,SUBTYPE,10694
0,SUBTYPE,6501
0,SUBTYPE,81403
0,SUBTYPE,69357
0,SUBTYPE,71525
0,SUBTYPE,12252
0,SUBTYPE,6902
0,SUBTYPE,80696
0,SUBTYPE,80016
0,SUBTYPE,69223
0,SUBTYPE,77526
0,SUBTYPE,72179
0,SUBTYPE,394
0,SUBTYPE,79266
0,SUBTYPE,6519
0,SUBTYPE,3579
0,SUBTYPE,3398
0,SUBTYPE,75434
0,SUBTYPE,1672
0,SUBTYPE,6435
0,SUBTYPE,72884
0,SUBTYPE,8698
0,SUBTYPE,71878
0,SUBTYPE,72159
0,SUBTYPE,73823
0,SUBTYPE,74234
0,SUBTYPE,220
0,SUBTYPE,81766
0,SUBTYPE,4484
0,SUBTYPE,81583
0,SUBTYPE,384
0,SUBTYPE,2356
0,SUBTYPE,2670
0,SUBTYPE,12317
0,SUBTYPE,13477
0,SUBTYPE,13226
0,SUBTYPE,4583
0,SUBTYPE,5846
0,SUBTYPE,5813
0,SUBTYPE,4652
0,SUBTYPE,69928
0,SUBTYPE,81497
0,SUBTYPE,3567
0,SUBTYPE,11772
0,SUBTYPE,70210
0,SUBTYPE,69059
0,SUBTYPE,67322
0,SUBTYPE,81438
0,SUBTYPE,68013
0,SUBTYPE,9097
0,SUBTYPE,11489
0,SUBTYPE,81067
0,SUBTYPE,69949
0,SUBTYPE,78288
0,SUBTYPE,76877
0,SUBTYPE,76053
0,SUBTYPE,6708
0,SUBTYPE,4053
0,SUBTYPE,70519
0,SUBTYPE,77794
0,SUBTYPE,78277
0,SUBTYPE,76660
0,SUBTYPE,78066
0,SUBTYPE,1360
0,SUBTYPE,2706
0,SUBTYPE,11566
0,SUBTYPE,3927
0,SUBTYPE,72125
0,SUBTYPE,80009
0,SUBTYPE,8910
0,SUBTYPE,575
0,SUBTYPE,76031
0,SUBTYPE,67774
0,SUBTYPE,2455
0,SUBTYPE,7700
0,SUBTYPE,72089
0,SUBTYPE,759
0,SUBTYPE,11440
0,SUBTYPE,81448
0,SUBTYPE,68042
0,SUBTYPE,80323
0,SUBTYPE,8880
0,SUBTYPE,7213
0,SUBTYPE,75038
0,SUBTYPE,2190
0,SUBTYPE,70877
0,SUBTYPE,70768
0,SUBTYPE,1362
0,SUBTYPE,12288
0,SUBTYPE,72242
0,SUBTYPE,4943
0,SUBTYPE,74566
0,SUBTYPE,4853
